UF;Municipio;Combustivel Veiculo;Qtd. Veiculos
ACRE;ACRELANDIA;ALCOOL;57
ACRE;ACRELANDIA;ALCOOL/GASOLINA;1615
ACRE;ACRELANDIA;DIESEL;713
ACRE;ACRELANDIA;GASOLINA;3344
ACRE;ACRELANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;ACRELANDIA;Sem Informa̤̣o;95
ACRE;ASSIS BRASIL;ALCOOL;5
ACRE;ASSIS BRASIL;ALCOOL/GASOLINA;675
ACRE;ASSIS BRASIL;DIESEL;132
ACRE;ASSIS BRASIL;GASOLINA;882
ACRE;ASSIS BRASIL;Sem Informa̤̣o;10
ACRE;BRASILEIA;ALCOOL;85
ACRE;BRASILEIA;ALCOOL/GASOLINA;3086
ACRE;BRASILEIA;DIESEL;1029
ACRE;BRASILEIA;GASOL/GAS NATURAL COMBUSTIVEL;1
ACRE;BRASILEIA;GASOLINA;4809
ACRE;BRASILEIA;Sem Informa̤̣o;277
ACRE;BUJARI;ALCOOL;28
ACRE;BUJARI;ALCOOL/GASOLINA;659
ACRE;BUJARI;DIESEL;337
ACRE;BUJARI;GASOLINA;979
ACRE;BUJARI;Sem Informa̤̣o;55
ACRE;CAPIXABA;ALCOOL;19
ACRE;CAPIXABA;ALCOOL/GASOLINA;637
ACRE;CAPIXABA;DIESEL;228
ACRE;CAPIXABA;GASOLINA;1189
ACRE;CAPIXABA;Sem Informa̤̣o;24
ACRE;CRUZEIRO DO SUL;ALCOOL;210
ACRE;CRUZEIRO DO SUL;ALCOOL/GASOLINA;12928
ACRE;CRUZEIRO DO SUL;DIESEL;2209
ACRE;CRUZEIRO DO SUL;GASOLINA;16636
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/GAS NATURAL;2
ACRE;CRUZEIRO DO SUL;GASOLINA/GAS NATURAL VEICULAR;1
ACRE;CRUZEIRO DO SUL;Sem Informa̤̣o;221
ACRE;EPITACIOLANDIA;ALCOOL;58
ACRE;EPITACIOLANDIA;ALCOOL/GASOLINA;2151
ACRE;EPITACIOLANDIA;DIESEL;791
ACRE;EPITACIOLANDIA;GASOLINA;2945
ACRE;EPITACIOLANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;EPITACIOLANDIA;Sem Informa̤̣o;238
ACRE;FEIJO;ALCOOL;9
ACRE;FEIJO;ALCOOL/GASOLINA;1622
ACRE;FEIJO;DIESEL;330
ACRE;FEIJO;GASOLINA;1686
