UF;Municipio;Combustivel Veiculo;Qtd. Veiculos
ACRE;ACRELANDIA;ALCOOL;60
ACRE;ACRELANDIA;ALCOOL/GASOLINA;2178
ACRE;ACRELANDIA;DIESEL;1064
ACRE;ACRELANDIA;GASOLINA;3586
ACRE;ACRELANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;ACRELANDIA;Sem Informação;164
ACRE;ASSIS BRASIL;ALCOOL;5
ACRE;ASSIS BRASIL;ALCOOL/GASOLINA;885
ACRE;ASSIS BRASIL;DIESEL;151
ACRE;ASSIS BRASIL;GASOLINA;956
ACRE;ASSIS BRASIL;Sem Informação;20
ACRE;BRASILEIA;ALCOOL;86
ACRE;BRASILEIA;ALCOOL/GASOLINA;3946
ACRE;BRASILEIA;DIESEL;1363
ACRE;BRASILEIA;GASOL/GAS NATURAL COMBUSTIVEL;1
ACRE;BRASILEIA;GASOLINA;5097
ACRE;BRASILEIA;GASOLINA/ALCOOL/ELETRICO;1
ACRE;BRASILEIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;BRASILEIA;Sem Informação;425
ACRE;BUJARI;ALCOOL;28
ACRE;BUJARI;ALCOOL/GASOLINA;852
ACRE;BUJARI;DIESEL;374
ACRE;BUJARI;GASOLINA;1030
ACRE;BUJARI;Sem Informação;73
ACRE;CAPIXABA;ALCOOL;20
ACRE;CAPIXABA;ALCOOL/GASOLINA;818
ACRE;CAPIXABA;DIESEL;255
ACRE;CAPIXABA;GASOLINA;1297
ACRE;CAPIXABA;Sem Informação;35
ACRE;CRUZEIRO DO SUL;ALCOOL;209
ACRE;CRUZEIRO DO SUL;ALCOOL/GASOLINA;15634
ACRE;CRUZEIRO DO SUL;DIESEL;2452
ACRE;CRUZEIRO DO SUL;GASOLINA;17239
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/ELETRICO;5
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/GAS NATURAL;3
ACRE;CRUZEIRO DO SUL;GASOLINA/ELETRICO;2
ACRE;CRUZEIRO DO SUL;GASOLINA/GAS NATURAL VEICULAR;1
ACRE;CRUZEIRO DO SUL;Sem Informação;290
ACRE;EPITACIOLANDIA;ALCOOL;57
ACRE;EPITACIOLANDIA;ALCOOL/GASOLINA;2782
ACRE;EPITACIOLANDIA;DIESEL;916
ACRE;EPITACIOLANDIA;GASOLINA;3121
ACRE;EPITACIOLANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;EPITACIOLANDIA;Sem Informação;274
ACRE;FEIJO;ALCOOL;7
ACRE;FEIJO;ALCOOL/GASOLINA;2030
ACRE;FEIJO;DIESEL;358
ACRE;FEIJO;GASOLINA;1794
ACRE;FEIJO;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;FEIJO;Sem Informação;32
ACRE;JORDAO;ALCOOL/GASOLINA;76
ACRE;JORDAO;DIESEL;15
ACRE;JORDAO;GASOLINA;51
ACRE;MANCIO LIMA;ALCOOL;20
ACRE;MANCIO LIMA;ALCOOL/GASOLINA;1517
ACRE;MANCIO LIMA;DIESEL;270
ACRE;MANCIO LIMA;GASOLINA;2172
ACRE;MANCIO LIMA;GASOLINA/ELETRICO;1
ACRE;MANCIO LIMA;GASOLINA/GAS NATURAL VEICULAR;1
ACRE;MANCIO LIMA;Sem Informação;6
ACRE;MANOEL URBANO;ALCOOL/GASOLINA;614
ACRE;MANOEL URBANO;DIESEL;158
ACRE;MANOEL URBANO;GASOLINA;471
ACRE;MANOEL URBANO;Sem Informação;35
ACRE;MARECHAL THAUMATURGO;ALCOOL/GASOLINA;168
ACRE;MARECHAL THAUMATURGO;DIESEL;36
ACRE;MARECHAL THAUMATURGO;GASOLINA;183
ACRE;PLACIDO DE CASTRO;ALCOOL;64
ACRE;PLACIDO DE CASTRO;ALCOOL/GASOLINA;1806
ACRE;PLACIDO DE CASTRO;DIESEL;575
ACRE;PLACIDO DE CASTRO;GASOLINA;2611
ACRE;PLACIDO DE CASTRO;Sem Informação;96
ACRE;PORTO ACRE;ALCOOL;38
ACRE;PORTO ACRE;ALCOOL/GASOLINA;1322
ACRE;PORTO ACRE;DIESEL;522
ACRE;PORTO ACRE;GASOLINA;2150
ACRE;PORTO ACRE;Sem Informação;47
ACRE;PORTO WALTER;ALCOOL/GASOLINA;191
ACRE;PORTO WALTER;DIESEL;28
ACRE;PORTO WALTER;GASOLINA;148
ACRE;RIO BRANCO;ALCOOL;2880
ACRE;RIO BRANCO;ALCOOL/GAS NATURAL COMBUSTIVEL;1
ACRE;RIO BRANCO;ALCOOL/GASOLINA;83275
ACRE;RIO BRANCO;DIESEL;17835
ACRE;RIO BRANCO;ELETRICO/FONTE EXTERNA;1
ACRE;RIO BRANCO;ELETRICO/FONTE INTERNA;12
ACRE;RIO BRANCO;GASOL/GAS NATURAL COMBUSTIVEL;5
ACRE;RIO BRANCO;GASOLINA;89355
ACRE;RIO BRANCO;GASOLINA/ALCOOL/ELETRICO;64
ACRE;RIO BRANCO;GASOLINA/ALCOOL/GAS NATURAL;4
ACRE;RIO BRANCO;GASOLINA/ELETRICO;47
ACRE;RIO BRANCO;GASOLINA/GAS NATURAL VEICULAR;7
ACRE;RIO BRANCO;Sem Informação;4486
ACRE;RODRIGUES ALVES;ALCOOL;5
ACRE;RODRIGUES ALVES;ALCOOL/GASOLINA;730
ACRE;RODRIGUES ALVES;DIESEL;84
ACRE;RODRIGUES ALVES;GASOLINA;917
ACRE;SANTA ROSA DO PURUS;ALCOOL/GASOLINA;77
ACRE;SANTA ROSA DO PURUS;DIESEL;26
ACRE;SANTA ROSA DO PURUS;GASOLINA;98
ACRE;SANTA ROSA DO PURUS;Sem Informação;3
ACRE;SENA MADUREIRA;ALCOOL;39
ACRE;SENA MADUREIRA;ALCOOL/GASOLINA;4020
ACRE;SENA MADUREIRA;DIESEL;777
ACRE;SENA MADUREIRA;ELETRICO/FONTE INTERNA;1
ACRE;SENA MADUREIRA;GASOLINA;4469
ACRE;SENA MADUREIRA;GASOLINA/ALCOOL/ELETRICO;2
ACRE;SENA MADUREIRA;Sem Informação;84
ACRE;SENADOR GUIOMARD;ALCOOL;100
ACRE;SENADOR GUIOMARD;ALCOOL/GASOLINA;2697
ACRE;SENADOR GUIOMARD;DIESEL;919
ACRE;SENADOR GUIOMARD;GASOLINA;3408
ACRE;SENADOR GUIOMARD;Sem Informação;233
ACRE;TARAUACA;ALCOOL;3
ACRE;TARAUACA;ALCOOL/GASOLINA;2389
ACRE;TARAUACA;DIESEL;484
ACRE;TARAUACA;GASOLINA;2344
ACRE;TARAUACA;Sem Informação;46
ACRE;XAPURI;ALCOOL;13
ACRE;XAPURI;ALCOOL/GASOLINA;1915
ACRE;XAPURI;DIESEL;401
ACRE;XAPURI;GASOLINA;2312
ACRE;XAPURI;GASOLINA/ALCOOL/ELETRICO;1
ACRE;XAPURI;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;XAPURI;Sem Informação;53
ALAGOAS;AGUA BRANCA;ALCOOL;43
ALAGOAS;AGUA BRANCA;ALCOOL/GASOLINA;1722
ALAGOAS;AGUA BRANCA;DIESEL;719
ALAGOAS;AGUA BRANCA;GASOLINA;2171
ALAGOAS;AGUA BRANCA;GASOLINA/ALCOOL/GAS NATURAL;2
ALAGOAS;AGUA BRANCA;GASOLINA/GAS NATURAL VEICULAR;3
ALAGOAS;AGUA BRANCA;Sem Informação;37
ALAGOAS;ANADIA;ALCOOL;69
ALAGOAS;ANADIA;ALCOOL/GAS NATURAL VEICULAR;2
ALAGOAS;ANADIA;ALCOOL/GASOLINA;1352
ALAGOAS;ANADIA;DIESEL;190
ALAGOAS;ANADIA;GASOLINA;1345
ALAGOAS;ANADIA;GASOLINA/ALCOOL/GAS NATURAL;32
ALAGOAS;ANADIA;GASOLINA/GAS NATURAL VEICULAR;18
ALAGOAS;ANADIA;Sem Informação;72
ALAGOAS;ARAPIRACA;ALCOOL;2607
ALAGOAS;ARAPIRACA;ALCOOL/GAS NATURAL VEICULAR;21
ALAGOAS;ARAPIRACA;ALCOOL/GASOLINA;52232
ALAGOAS;ARAPIRACA;DIESEL;8076
ALAGOAS;ARAPIRACA;ELETRICO/FONTE EXTERNA;1
ALAGOAS;ARAPIRACA;GASOL/GAS NATURAL COMBUSTIVEL;1
ALAGOAS;ARAPIRACA;GASOLINA;54569
ALAGOAS;ARAPIRACA;GASOLINA/ALCOOL/ELETRICO;24
ALAGOAS;ARAPIRACA;GASOLINA/ALCOOL/GAS NATURAL;346
ALAGOAS;ARAPIRACA;GASOLINA/ELETRICO;19
ALAGOAS;ARAPIRACA;GASOLINA/GAS NATURAL VEICULAR;363
ALAGOAS;ARAPIRACA;Sem Informação;3332
ALAGOAS;ATALAIA;ALCOOL;380
ALAGOAS;ATALAIA;ALCOOL/GAS NATURAL VEICULAR;36
ALAGOAS;ATALAIA;ALCOOL/GASOLINA;2850
ALAGOAS;ATALAIA;DIESEL;567
ALAGOAS;ATALAIA;GASOLINA;2606
ALAGOAS;ATALAIA;GASOLINA/ALCOOL/ELETRICO;1
ALAGOAS;ATALAIA;GASOLINA/ALCOOL/GAS NATURAL;334
ALAGOAS;ATALAIA;GASOLINA/GAS NATURAL VEICULAR;264
ALAGOAS;ATALAIA;Sem Informação;487
ALAGOAS;BARRA DE SANTO ANTONIO;ALCOOL;79
ALAGOAS;BARRA DE SANTO ANTONIO;ALCOOL/GAS NATURAL VEICULAR;7
ALAGOAS;BARRA DE SANTO ANTONIO;ALCOOL/GASOLINA;1093
ALAGOAS;BARRA DE SANTO ANTONIO;DIESEL;118
ALAGOAS;BARRA DE SANTO ANTONIO;GASOLINA;1024
ALAGOAS;BARRA DE SANTO ANTONIO;GASOLINA/ALCOOL/GAS NATURAL;78
ALAGOAS;BARRA DE SANTO ANTONIO;GASOLINA/GAS NATURAL VEICULAR;54
ALAGOAS;BARRA DE SANTO ANTONIO;Sem Informação;93
ALAGOAS;BARRA DE SAO MIGUEL;ALCOOL;55
ALAGOAS;BARRA DE SAO MIGUEL;ALCOOL/GAS NATURAL VEICULAR;2
ALAGOAS;BARRA DE SAO MIGUEL;ALCOOL/GASOLINA;906
ALAGOAS;BARRA DE SAO MIGUEL;DIESEL;113
ALAGOAS;BARRA DE SAO MIGUEL;GASOLINA;912
ALAGOAS;BARRA DE SAO MIGUEL;GASOLINA/ALCOOL/GAS NATURAL;47
ALAGOAS;BARRA DE SAO MIGUEL;GASOLINA/GAS NATURAL VEICULAR;24
ALAGOAS;BARRA DE SAO MIGUEL;Sem Informação;81
ALAGOAS;BATALHA;ALCOOL;85
ALAGOAS;BATALHA;ALCOOL/GAS NATURAL VEICULAR;2
ALAGOAS;BATALHA;ALCOOL/GASOLINA;1507
ALAGOAS;BATALHA;DIESEL;363
ALAGOAS;BATALHA;GASOLINA;2164
ALAGOAS;BATALHA;GASOLINA/ALCOOL/GAS NATURAL;6
ALAGOAS;BATALHA;GASOLINA/GAS NATURAL VEICULAR;7
ALAGOAS;BATALHA;Sem Informação;92
ALAGOAS;BELEM;ALCOOL;26
ALAGOAS;BELEM;ALCOOL/GAS NATURAL VEICULAR;4
ALAGOAS;BELEM;ALCOOL/GASOLINA;463
ALAGOAS;BELEM;DIESEL;68
ALAGOAS;BELEM;GASOLINA;656
ALAGOAS;BELEM;GASOLINA/ALCOOL/GAS NATURAL;11
ALAGOAS;BELEM;GASOLINA/GAS NATURAL VEICULAR;16
ALAGOAS;BELEM;Sem Informação;41
ALAGOAS;BELO MONTE;ALCOOL;6
ALAGOAS;BELO MONTE;ALCOOL/GASOLINA;351
ALAGOAS;BELO MONTE;DIESEL;89
ALAGOAS;BELO MONTE;GASOLINA;429
ALAGOAS;BELO MONTE;GASOLINA/ALCOOL/GAS NATURAL;1
ALAGOAS;BELO MONTE;Sem Informação;8
ALAGOAS;BOCA DA MATA;ALCOOL;182
ALAGOAS;BOCA DA MATA;ALCOOL/GAS NATURAL VEICULAR;5
ALAGOAS;BOCA DA MATA;ALCOOL/GASOLINA;2369
ALAGOAS;BOCA DA MATA;DIESEL;489
ALAGOAS;BOCA DA MATA;GASOLINA;2595
ALAGOAS;BOCA DA MATA;GASOLINA/ALCOOL/ELETRICO;1
ALAGOAS;BOCA DA MATA;GASOLINA/ALCOOL/GAS NATURAL;39
