UF;Municipio;Combustivel Veiculo;Qtd. Veiculos
ACRE;ACRELANDIA;ALCOOL;57
ACRE;ACRELANDIA;ALCOOL/GASOLINA;1389
ACRE;ACRELANDIA;DIESEL;650
ACRE;ACRELANDIA;GASOLINA;3230
ACRE;ACRELANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;ACRELANDIA;Sem Informa̤̣o;77
ACRE;ASSIS BRASIL;ALCOOL;5
ACRE;ASSIS BRASIL;ALCOOL/GASOLINA;617
ACRE;ASSIS BRASIL;DIESEL;124
ACRE;ASSIS BRASIL;GASOLINA;868
ACRE;ASSIS BRASIL;Sem Informa̤̣o;9
ACRE;BRASILEIA;ALCOOL;84
ACRE;BRASILEIA;ALCOOL/GASOLINA;2694
ACRE;BRASILEIA;DIESEL;937
ACRE;BRASILEIA;GASOL/GAS NATURAL COMBUSTIVEL;1
ACRE;BRASILEIA;GASOLINA;4610
ACRE;BRASILEIA;Sem Informa̤̣o;243
ACRE;BUJARI;ALCOOL;28
ACRE;BUJARI;ALCOOL/GASOLINA;586
ACRE;BUJARI;DIESEL;314
ACRE;BUJARI;GASOLINA;953
ACRE;BUJARI;Sem Informa̤̣o;36
ACRE;CAPIXABA;ALCOOL;19
ACRE;CAPIXABA;ALCOOL/GASOLINA;547
ACRE;CAPIXABA;DIESEL;212
ACRE;CAPIXABA;GASOLINA;1136
ACRE;CAPIXABA;Sem Informa̤̣o;23
ACRE;CRUZEIRO DO SUL;ALCOOL;210
ACRE;CRUZEIRO DO SUL;ALCOOL/GASOLINA;11549
ACRE;CRUZEIRO DO SUL;DIESEL;2104
ACRE;CRUZEIRO DO SUL;GASOLINA;16271
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/GAS NATURAL;3
ACRE;CRUZEIRO DO SUL;GASOLINA/GAS NATURAL VEICULAR;2
ACRE;CRUZEIRO DO SUL;Sem Informa̤̣o;199
ACRE;EPITACIOLANDIA;ALCOOL;58
ACRE;EPITACIOLANDIA;ALCOOL/GASOLINA;1879
ACRE;EPITACIOLANDIA;DIESEL;734
ACRE;EPITACIOLANDIA;GASOLINA;2815
ACRE;EPITACIOLANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;EPITACIOLANDIA;Sem Informa̤̣o;209
ACRE;FEIJO;ALCOOL;9
