UF;Municipio;Combustivel Veiculo;Qtd. Veiculos
ACRE;ACRELANDIA;ALCOOL;60
ACRE;ACRELANDIA;ALCOOL/GASOLINA;1845
ACRE;ACRELANDIA;DIESEL;869
ACRE;ACRELANDIA;GASOLINA;3475
ACRE;ACRELANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;ACRELANDIA;Sem Informação;140
ACRE;ASSIS BRASIL;ALCOOL;5
ACRE;ASSIS BRASIL;ALCOOL/GASOLINA;751
ACRE;ASSIS BRASIL;DIESEL;136
ACRE;ASSIS BRASIL;GASOLINA;906
ACRE;ASSIS BRASIL;Sem Informação;16
ACRE;BRASILEIA;ALCOOL;85
ACRE;BRASILEIA;ALCOOL/GASOLINA;3382
ACRE;BRASILEIA;DIESEL;1141
ACRE;BRASILEIA;GASOL/GAS NATURAL COMBUSTIVEL;1
ACRE;BRASILEIA;GASOLINA;4923
ACRE;BRASILEIA;Sem Informação;326
ACRE;BUJARI;ALCOOL;28
ACRE;BUJARI;ALCOOL/GASOLINA;720
ACRE;BUJARI;DIESEL;372
ACRE;BUJARI;GASOLINA;998
ACRE;BUJARI;Sem Informação;68
ACRE;CAPIXABA;ALCOOL;19
ACRE;CAPIXABA;ALCOOL/GASOLINA;711
ACRE;CAPIXABA;DIESEL;242
ACRE;CAPIXABA;GASOLINA;1240
ACRE;CAPIXABA;Sem Informação;29
ACRE;CRUZEIRO DO SUL;ALCOOL;210
ACRE;CRUZEIRO DO SUL;ALCOOL/GASOLINA;14190
ACRE;CRUZEIRO DO SUL;DIESEL;2309
ACRE;CRUZEIRO DO SUL;GASOLINA;16962
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/ELETRICO;1
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/GAS NATURAL;2
ACRE;CRUZEIRO DO SUL;GASOLINA/ELETRICO;1
ACRE;CRUZEIRO DO SUL;GASOLINA/GAS NATURAL VEICULAR;1
ACRE;CRUZEIRO DO SUL;Sem Informação;252
ACRE;EPITACIOLANDIA;ALCOOL;57
ACRE;EPITACIOLANDIA;ALCOOL/GASOLINA;2410
ACRE;EPITACIOLANDIA;DIESEL;835
ACRE;EPITACIOLANDIA;GASOLINA;3019
ACRE;EPITACIOLANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;EPITACIOLANDIA;Sem Informação;252
ACRE;FEIJO;ALCOOL;8
ACRE;FEIJO;ALCOOL/GASOLINA;1806
ACRE;FEIJO;DIESEL;348
ACRE;FEIJO;GASOLINA;1728
ACRE;FEIJO;Sem Informação;24
ACRE;JORDAO;ALCOOL/GASOLINA;62
ACRE;JORDAO;DIESEL;14
ACRE;JORDAO;GASOLINA;48
ACRE;MANCIO LIMA;ALCOOL;20
ACRE;MANCIO LIMA;ALCOOL/GASOLINA;1352
ACRE;MANCIO LIMA;DIESEL;261
ACRE;MANCIO LIMA;GASOLINA;2141
ACRE;MANCIO LIMA;GASOLINA/GAS NATURAL VEICULAR;1
ACRE;MANCIO LIMA;Sem Informação;6
ACRE;MANOEL URBANO;ALCOOL/GASOLINA;535
ACRE;MANOEL URBANO;DIESEL;150
ACRE;MANOEL URBANO;GASOLINA;436
ACRE;MANOEL URBANO;Sem Informação;32
