UF;Municipio;Combustivel Veiculo;Qtd. Veiculos
ACRE;ACRELANDIA;ALCOOL;59
ACRE;ACRELANDIA;ALCOOL/GASOLINA;2452
ACRE;ACRELANDIA;DIESEL;1057
ACRE;ACRELANDIA;GASOLINA;3688
ACRE;ACRELANDIA;GASOLINA/ALCOOL/GAS NATURAL;2
ACRE;ACRELANDIA;Sem Informação;157
ACRE;ASSIS BRASIL;ALCOOL;5
ACRE;ASSIS BRASIL;ALCOOL/GASOLINA;978
ACRE;ASSIS BRASIL;DIESEL;161
ACRE;ASSIS BRASIL;GASOLINA;992
ACRE;ASSIS BRASIL;Sem Informação;19
ACRE;BRASILEIA;ALCOOL;86
ACRE;BRASILEIA;ALCOOL/GASOLINA;4435
ACRE;BRASILEIA;DIESEL;1500
ACRE;BRASILEIA;GASOL/GAS NATURAL COMBUSTIVEL;1
ACRE;BRASILEIA;GASOLINA;5249
ACRE;BRASILEIA;GASOLINA/ALCOOL/ELETRICO;2
ACRE;BRASILEIA;Sem Informação;521
ACRE;BUJARI;ALCOOL;28
ACRE;BUJARI;ALCOOL/GASOLINA;968
ACRE;BUJARI;DIESEL;414
ACRE;BUJARI;GASOLINA;1094
ACRE;BUJARI;Sem Informação;77
ACRE;CAPIXABA;ALCOOL;20
ACRE;CAPIXABA;ALCOOL/GASOLINA;928
ACRE;CAPIXABA;DIESEL;279
ACRE;CAPIXABA;GASOLINA;1345
ACRE;CAPIXABA;Sem Informação;40
ACRE;CRUZEIRO DO SUL;ALCOOL;210
ACRE;CRUZEIRO DO SUL;ALCOOL/GASOLINA;17182
ACRE;CRUZEIRO DO SUL;DIESEL;2570
ACRE;CRUZEIRO DO SUL;GASOLINA;17496
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/ELETRICO;15
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/GAS NATURAL;2
ACRE;CRUZEIRO DO SUL;GASOLINA/ELETRICO;2
ACRE;CRUZEIRO DO SUL;GASOLINA/GAS NATURAL VEICULAR;1
ACRE;CRUZEIRO DO SUL;Sem Informação;327
ACRE;EPITACIOLANDIA;ALCOOL;58
ACRE;EPITACIOLANDIA;ALCOOL/GASOLINA;3080
ACRE;EPITACIOLANDIA;DIESEL;1023
ACRE;EPITACIOLANDIA;GASOLINA;3246
ACRE;EPITACIOLANDIA;GASOLINA/ALCOOL/ELETRICO;1
ACRE;EPITACIOLANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;EPITACIOLANDIA;Sem Informação;298
ACRE;FEIJO;ALCOOL;7
ACRE;FEIJO;ALCOOL/GASOLINA;2268
ACRE;FEIJO;DIESEL;369
ACRE;FEIJO;GASOLINA;1899
ACRE;FEIJO;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;FEIJO;Sem Informação;34
ACRE;JORDAO;ALCOOL/GASOLINA;87
ACRE;JORDAO;DIESEL;14
ACRE;JORDAO;GASOLINA;54
ACRE;MANCIO LIMA;ALCOOL;20
ACRE;MANCIO LIMA;ALCOOL/GASOLINA;1653
ACRE;MANCIO LIMA;DIESEL;271
ACRE;MANCIO LIMA;GASOLINA;2194
ACRE;MANCIO LIMA;GASOLINA/GAS NATURAL VEICULAR;1
ACRE;MANCIO LIMA;Sem Informação;6
ACRE;MANOEL URBANO;ALCOOL/GASOLINA;687
ACRE;MANOEL URBANO;DIESEL;166
ACRE;MANOEL URBANO;GASOLINA;506
ACRE;MANOEL URBANO;Sem Informação;35
ACRE;MARECHAL THAUMATURGO;ALCOOL/GASOLINA;179
ACRE;MARECHAL THAUMATURGO;DIESEL;38
ACRE;MARECHAL THAUMATURGO;GASOLINA;192
ACRE;PLACIDO DE CASTRO;ALCOOL;63
ACRE;PLACIDO DE CASTRO;ALCOOL/GASOLINA;1988
ACRE;PLACIDO DE CASTRO;DIESEL;592
ACRE;PLACIDO DE CASTRO;GASOLINA;2682
ACRE;PLACIDO DE CASTRO;GASOLINA/ALCOOL/ELETRICO;1
ACRE;PLACIDO DE CASTRO;Sem Informação;111
ACRE;PORTO ACRE;ALCOOL;39
ACRE;PORTO ACRE;ALCOOL/GASOLINA;1520
ACRE;PORTO ACRE;DIESEL;546
ACRE;PORTO ACRE;GASOLINA;2218
ACRE;PORTO ACRE;Sem Informação;52
ACRE;PORTO WALTER;ALCOOL/GASOLINA;212
ACRE;PORTO WALTER;DIESEL;34
ACRE;PORTO WALTER;GASOLINA;151
ACRE;RIO BRANCO;ALCOOL;2887
ACRE;RIO BRANCO;ALCOOL/GAS NATURAL COMBUSTIVEL;1
ACRE;RIO BRANCO;ALCOOL/GASOLINA;87279
ACRE;RIO BRANCO;DIESEL;18304
ACRE;RIO BRANCO;ELETRICO/FONTE EXTERNA;3
ACRE;RIO BRANCO;ELETRICO/FONTE INTERNA;15
ACRE;RIO BRANCO;GASOL/GAS NATURAL COMBUSTIVEL;5
ACRE;RIO BRANCO;GASOLINA;90911
ACRE;RIO BRANCO;GASOLINA/ALCOOL/ELETRICO;106
ACRE;RIO BRANCO;GASOLINA/ALCOOL/GAS NATURAL;6
ACRE;RIO BRANCO;GASOLINA/ELETRICO;48
ACRE;RIO BRANCO;GASOLINA/GAS NATURAL VEICULAR;7
ACRE;RIO BRANCO;Sem Informação;4764
ACRE;RODRIGUES ALVES;ALCOOL;5
ACRE;RODRIGUES ALVES;ALCOOL/GASOLINA;839
ACRE;RODRIGUES ALVES;DIESEL;85
ACRE;RODRIGUES ALVES;GASOLINA;959
ACRE;SANTA ROSA DO PURUS;ALCOOL/GASOLINA;89
ACRE;SANTA ROSA DO PURUS;DIESEL;27
ACRE;SANTA ROSA DO PURUS;GASOLINA;110
ACRE;SANTA ROSA DO PURUS;Sem Informação;3
ACRE;SENA MADUREIRA;ALCOOL;39
ACRE;SENA MADUREIRA;ALCOOL/GASOLINA;4484
ACRE;SENA MADUREIRA;DIESEL;862
ACRE;SENA MADUREIRA;ELETRICO/FONTE INTERNA;1
ACRE;SENA MADUREIRA;GASOLINA;4602
ACRE;SENA MADUREIRA;GASOLINA/ALCOOL/ELETRICO;2
ACRE;SENA MADUREIRA;Sem Informação;104
ACRE;SENADOR GUIOMARD;ALCOOL;101
ACRE;SENADOR GUIOMARD;ALCOOL/GASOLINA;2913
ACRE;SENADOR GUIOMARD;DIESEL;947
ACRE;SENADOR GUIOMARD;GASOLINA;3478
ACRE;SENADOR GUIOMARD;GASOLINA/ALCOOL/ELETRICO;1
ACRE;SENADOR GUIOMARD;Sem Informação;253
ACRE;TARAUACA;ALCOOL;3
ACRE;TARAUACA;ALCOOL/GASOLINA;2625
ACRE;TARAUACA;DIESEL;496
ACRE;TARAUACA;GASOLINA;2376
ACRE;TARAUACA;GASOLINA/ALCOOL/ELETRICO;1
ACRE;TARAUACA;Sem Informação;55
ACRE;XAPURI;ALCOOL;12
ACRE;XAPURI;ALCOOL/GASOLINA;2158
ACRE;XAPURI;DIESEL;444
ACRE;XAPURI;GASOLINA;2384
ACRE;XAPURI;GASOLINA/ALCOOL/ELETRICO;2
ACRE;XAPURI;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;XAPURI;Sem Informação;56
ALAGOAS;AGUA BRANCA;ALCOOL;46
ALAGOAS;AGUA BRANCA;ALCOOL/GASOLINA;1886
ALAGOAS;AGUA BRANCA;DIESEL;762
ALAGOAS;AGUA BRANCA;GASOLINA;2297
ALAGOAS;AGUA BRANCA;GASOLINA/ALCOOL/GAS NATURAL;2
ALAGOAS;AGUA BRANCA;GASOLINA/GAS NATURAL VEICULAR;2
ALAGOAS;AGUA BRANCA;Sem Informação;39
ALAGOAS;ANADIA;ALCOOL;70
ALAGOAS;ANADIA;ALCOOL/GAS NATURAL VEICULAR;2
ALAGOAS;ANADIA;ALCOOL/GASOLINA;1435
ALAGOAS;ANADIA;DIESEL;205
ALAGOAS;ANADIA;GASOLINA;1408
ALAGOAS;ANADIA;GASOLINA/ALCOOL/GAS NATURAL;38
ALAGOAS;ANADIA;GASOLINA/GAS NATURAL VEICULAR;17
ALAGOAS;ANADIA;Sem Informação;83
ALAGOAS;ARAPIRACA;ALCOOL;2612
ALAGOAS;ARAPIRACA;ALCOOL/GAS NATURAL VEICULAR;22
ALAGOAS;ARAPIRACA;ALCOOL/GASOLINA;56112
ALAGOAS;ARAPIRACA;DIESEL;8440
ALAGOAS;ARAPIRACA;ELETRICO/FONTE EXTERNA;13
ALAGOAS;ARAPIRACA;ELETRICO/FONTE INTERNA;1
ALAGOAS;ARAPIRACA;GASOL/GAS NATURAL COMBUSTIVEL;1
ALAGOAS;ARAPIRACA;GASOLINA;56194
ALAGOAS;ARAPIRACA;GASOLINA/ALCOOL/ELETRICO;34
ALAGOAS;ARAPIRACA;GASOLINA/ALCOOL/GAS NATURAL;430
ALAGOAS;ARAPIRACA;GASOLINA/ELETRICO;28
ALAGOAS;ARAPIRACA;GASOLINA/GAS NATURAL VEICULAR;368
ALAGOAS;ARAPIRACA;Sem Informação;3580
ALAGOAS;ATALAIA;ALCOOL;380
ALAGOAS;ATALAIA;ALCOOL/GAS NATURAL VEICULAR;37
ALAGOAS;ATALAIA;ALCOOL/GASOLINA;3088
ALAGOAS;ATALAIA;DIESEL;562
ALAGOAS;ATALAIA;ELETRICO/FONTE EXTERNA;1
ALAGOAS;ATALAIA;GASOLINA;2770
ALAGOAS;ATALAIA;GASOLINA/ALCOOL/ELETRICO;2
ALAGOAS;ATALAIA;GASOLINA/ALCOOL/GAS NATURAL;359
ALAGOAS;ATALAIA;GASOLINA/GAS NATURAL VEICULAR;264
ALAGOAS;ATALAIA;Sem Informação;517
ALAGOAS;BARRA DE SANTO ANTONIO;ALCOOL;80
ALAGOAS;BARRA DE SANTO ANTONIO;ALCOOL/GAS NATURAL VEICULAR;7
ALAGOAS;BARRA DE SANTO ANTONIO;ALCOOL/GASOLINA;1266
ALAGOAS;BARRA DE SANTO ANTONIO;DIESEL;131
ALAGOAS;BARRA DE SANTO ANTONIO;GASOLINA;1076
ALAGOAS;BARRA DE SANTO ANTONIO;GASOLINA/ALCOOL/GAS NATURAL;81
ALAGOAS;BARRA DE SANTO ANTONIO;GASOLINA/ELETRICO;1
ALAGOAS;BARRA DE SANTO ANTONIO;GASOLINA/GAS NATURAL VEICULAR;54
ALAGOAS;BARRA DE SANTO ANTONIO;Sem Informação;98
ALAGOAS;BARRA DE SAO MIGUEL;ALCOOL;58
ALAGOAS;BARRA DE SAO MIGUEL;ALCOOL/GAS NATURAL VEICULAR;2
ALAGOAS;BARRA DE SAO MIGUEL;ALCOOL/GASOLINA;1075
ALAGOAS;BARRA DE SAO MIGUEL;DIESEL;120
ALAGOAS;BARRA DE SAO MIGUEL;ELETRICO/FONTE INTERNA;1
